time_s,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,aux_volts,current_a,accel_mag_g,accel_excess_g,gyro_mag_deg_s,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,accel_x_m_s2_for_velocity,accel_x_bias_correction_m_s2,accel_z_m_s2_for_velocity,spin_window_flag,vel_x_m_s,vel_y_m_s,vel_z_m_s,vel_mag_m_s,accel_z_raw_m_s2,vel_x_simple_m_s,vel_y_simple_m_s,vel_z_simple_m_s,vel_simple_mag_m_s,jerk_excess_g_per_s
70.392,-225.7,41.6,31.6,-0.82,0.85,0.14,0.036,0.0,1.1893275410920239,0.18932754109202388,231.66702398053977,-8.041452999999999,8.3356525,-8.433719,-3.4459906424399023,-4.595462357560097,-8.433719,False,320.6780514377979,29.867623572499056,-715.7391347819615,784.8624062026684,1.3729310000000001,183.76544141900828,29.867623572499056,-5.561155082004192,186.2598691174177,-2.073486258384598
70.394,-226.7,40.7,31.2,-0.85,0.79,0.16,0.034,0.0,1.1714094075087498,0.17140940750874978,232.4280964083301,-8.3356525,7.7472535,-8.237585999999999,-3.7401901424399036,-4.595462357560097,-8.237585999999999,False,320.67086525701296,29.883706478499132,-715.7558060869616,784.8752854337882,1.569064,183.7490643135082,29.883706478499132,-5.558213087004178,186.24620340211882,1.7291452877211668
70.396,-227.2,40.3,31.0,-0.83,0.85,0.14,0.035,0.0,1.1962441222426132,0.19624412224261323,232.81952237731267,-8.139519499999999,8.3356525,-8.433719,-3.544057142439902,-4.595462357560097,-8.433719,False,320.6635810097281,29.899789384499094,-715.7724773919615,784.8881251382555,1.3729310000000001,183.73258914150824,29.899789384499094,-5.555271092004185,186.23244280947756,2.0734862584408944
70.398,-227.5,39.3,30.8,-0.8,0.86,0.11,0.034,0.0,1.179703352542494,0.17970335254249403,232.91496302298827,-7.84532,8.433719,-8.7279185,-3.2498576424399035,-4.595462357560097,-8.7279185,False,320.65678709494324,29.916558755999056,-715.7896390294615,784.9016390222279,1.0787315,183.71660430200828,29.916558755999056,-5.552819429504191,186.21929273756388,-20.11211050527708
70.4,-228.0,38.8,30.5,-0.77,0.8,0.11,0.034,0.0,1.11579568022107,0.11579568022107001,233.28028206430136,-7.5511205,7.84532,-8.7279185,-2.955658142439903,-4.595462357560097,-8.7279185,False,320.6505815791583,29.932837794999134,-715.8070948664615,784.9156434335333,1.0787315,183.7012078615082,29.932837794999134,-5.5506619665041805,186.20665508113606,-30.75259952121663
70.402,-227.9,37.7,30.1,-0.74,0.73,0.19,0.036,0.0,1.056692954457443,0.056692954457443046,232.95001609787454,-7.256920999999999,7.1588544999999995,-7.9433865,-2.6614586424399027,-4.595462357560097,-7.9433865,False,320.6449644623734,29.9478419694991,-715.8237661714614,784.9291246282062,1.8632635,183.68639982000823,29.9478419694991,-5.547719971504187,186.1943713283198,-28.175117595825853
70.404,-229.1,36.8,29.9,-0.74,0.65,0.19,0.036,0.0,1.0030952098380292,0.0030952098380292448,233.95525213168435,-7.256920999999999,6.3743225,-7.9433865,-2.6614586424399027,-4.595462357560097,-7.9433865,False,320.6396415450886,29.961375146499066,-715.8396529444614,784.9419548339093,1.8632635,183.67188597800828,29.961375146499066,-5.543993444504196,186.1821193420583,-11.735127387166687
70.406,-228.9,36.3,30.0,-0.76,0.62,0.24,0.036,0.0,1.009752444909147,0.009752444909147062,233.69403073249433,-7.453054,6.0801229999999995,-7.453054,-2.8575916424399033,-4.595462357560097,-7.453054,False,320.63412249480365,29.973829591999124,-715.8550493849615,784.9542169441277,2.3535959999999996,183.6571760030082,29.973829591999124,-5.539776585004176,186.1694869800685,12.7243000005047
70.408,-229.4,35.4,30.1,-0.8,0.65,0.22,0.034,0.0,1.0539924098398432,0.053992409839843214,234.05881739426098,-7.84532,6.3743225,-7.6491869999999995,-3.2498576424399035,-4.595462357560097,-7.6491869999999995,False,320.6280150455188,29.986284037499093,-715.8701516259614,784.965970760124,2.157463,183.64187762900823,29.986284037499093,-5.535265526004186,186.15626665231707,27.003295869147603
70.41,-229.4,35.3,29.8,-0.82,0.73,0.21,0.034,0.0,1.1177656283854858,0.11776562838548577,234.005320452335,-8.041452999999999,7.1588544999999995,-7.7472535,-3.4459906424399023,-4.595462357560097,-7.7472535,False,320.6213191972339,29.99981721449906,-715.8855480664614,784.9777941363028,2.0593964999999996,183.62599085600826,29.99981721449906,-5.531048666504196,186.14264973429763,24.707553279151973
