time_s,altitude_agl_ft,altitude_agl_smooth_ft,vertical_velocity_ft_s,horizontal_velocity_ft_s,acceleration_ft_s2,velocity_dr_ft_s,velocity_cr_ft_s,apo_fired,main_fired,descent_rate_ft_s,descent_rate_from_alt_ft_s,descent_rate_from_alt_smoothed_ft_s,altitude_asl_ft,baro_press_atm,inertial_altitude_ft,tilt_angle_deg,future_angle_deg,roll_angle_deg
85.88,17554.9,17475.6565,-251.0,108.25894882179486,-225.0000000000191,98.0,-46.0,1,0,251.0,117.16250000003492,121.90694444444458,19507.6,0.4691,26112.0,127.6,0.0,-29981.0
85.9,17437.7,17473.314166666667,-254.0,106.06601717798213,-24.99999999990723,93.0,-51.0,1,0,254.0,120.64166666666279,121.92780555555578,19390.3,0.4714,26107.0,125.2,0.0,-30027.0
85.92,17437.7,17470.830833333333,-252.0,101.54801819828883,175.00000000003456,86.0,-54.0,1,0,252.0,124.16666666668607,121.92843055555568,19390.3,0.4714,26102.0,123.5,0.0,-30072.0
85.94,17461.1,17468.3475,-247.0,97.63708311906906,250.00000000005002,82.0,-53.0,1,0,247.0,123.45416666666279,121.90881944444438,19413.8,0.4709,26097.0,122.9,0.0,-30118.0
85.96,17461.1,17465.892666666667,-242.0,95.88013350011565,150.0000000000482,83.0,-48.0,1,0,242.0,122.78750000003492,121.90698611111118,19413.8,0.4709,26092.0,123.5,0.0,-30164.0
85.98,17484.5,17463.435999999998,-241.0,99.28242543370907,-75.0000000000764,89.0,-44.0,1,0,241.0,120.62499999988358,121.9229305555556,19437.2,0.4705,26088.0,124.6,0.0,-30210.0
86.0,17484.5,17461.06766666667,-245.0,104.78549517943789,-275.00000000005457,96.0,-42.0,1,0,245.0,118.41666666662786,121.93240972222218,19437.2,0.4705,26083.0,125.4,0.0,-30256.0
86.02,17521.2,17458.699333333334,-252.0,109.2520022699813,-324.99999999996726,100.0,-44.0,1,0,252.0,116.80000000004657,121.93542361111109,19473.9,0.4698,26078.0,125.9,0.0,-30302.0
86.04,17521.2,17456.395666666667,-258.0,111.35977729862789,-149.99999999986994,100.0,-49.0,1,0,258.0,115.18333333334886,121.94157638888903,19473.9,0.4698,26073.0,126.7,0.0,-30348.0
86.06,17445.8,17454.092,-258.0,109.77249200050075,75.00000000001455,95.0,-55.0,1,0,258.0,121.28333333344199,121.95086805555592,19398.5,0.4712,26067.0,128.0,0.0,-30394.0
86.08,17445.8,17451.54433333333,-255.0,106.53168542738823,200.00000000004002,90.0,-57.0,1,0,255.0,127.3833333334187,121.96189583333364,19398.5,0.4712,26062.0,129.9,0.0,-30440.0
