time_s,altitude_agl_ft,altitude_agl_smooth_ft,descent_rate_from_alt_ft_s,descent_rate_smoothed_ft_s,descent_rate_time_smoothed_ft_s,velocity_up_ft_s,time_plot_descent_rate_ft_s,time_plot_descent_rate_smoothed_ft_s
69.14,19293.9,19329.653465346535,100.1485148514621,104.68198450279559,106.37153059568847,-4.0,100.1485148514621,106.37153059568847
69.16,19293.9,19327.677227722772,97.47524752473691,101.15959965561785,106.09891521939616,-4.0,97.47524752473691,106.09891521939616
69.18,19302.6,19325.754455445545,92.62376237619901,97.69532931553776,105.82629984310387,-4.0,92.62376237619901,105.82629984310387
69.2,19302.6,19323.972277227724,90.4455445545027,94.11536805854057,105.55368446681156,-4.0,90.4455445545027,105.55368446681156
69.22,19308.0,19322.136633663366,89.08415841590613,90.56607834696288,105.28106909051927,-4.0,89.08415841590613,105.28106909051927
69.24,19308.0,19320.40891089109,86.93069306929829,87.48439517864608,105.00547800682115,-4.0,86.93069306929829,105.00547800682115
69.26,19310.2,19318.659405940594,86.68316831678385,84.81812311665904,104.72866958827467,-4.0,86.68316831678385,104.72866958827467
69.28,19310.2,19316.941584158416,81.85643564356724,82.3111278519171,104.4490207217491,-4.0,81.85643564356724,104.4490207217491
69.3,19329.7,19315.38514851485,77.27722772269044,79.88108049935418,104.1692365957952,-4.0,77.27722772269044,104.1692365957952
69.32,19329.7,19313.850495049508,69.23267326736823,77.47470942746124,103.88661202186222,-4.0,69.23267326736823,103.88661202186222
69.34,19338.4,19312.615841584156,59.5792079208768,75.24429616874524,103.6006059622401,-4.0,59.5792079208768,103.6006059622401
69.36,19338.4,19311.467326732673,51.26237623754423,73.30122686181667,103.31405886490731,-4.0,51.26237623754423,103.31405886490731
69.38,19347.1,19310.565346534655,42.94554455432808,71.49321997417111,103.01520315966476,-4.0,42.94554455432808,103.01520315966476
69.4,19346.0,19309.749504950498,29.257425742573105,69.19715884631833,102.69064816318136,-5.0,29.257425742573105,102.69064816318136
